Date,Opponent,Team,Handed (Right or Left),Strengths / Weaknesses,Report by...,Scouting Report,Doubles
2/28/2026,Ajer Sher,Chicago,Right Handed,"S:

* Very hard hitter especially when ball is middle third of the court
* Great inside out forehand
* Serve is better than average but not insanely fast
* Good shot tolerance and movement
* Gets to both corners well and able to handle pace back well to
* Volleys unsure didn’t come to net enough to tell

W:

* Middle deep balls seemed to be effective at getting a short ball
* Approaching to the backhand seemed a bit better than forehand, would generally press for a passing shot when I came in rather than making me volley
* Drew more errors from either first couple shots or past the 8+ ball mark, rarely missed in the 5-8 rallies
* Getting return back deep and low generated a couple errors, not giving him time to do anything but give same ball or worse back to me",Nick,,false
2/28/2026,Seth Sadikov,Swarthmore,Right Handed,"S:

* Backhand (one hander) might not look better technique, but is able to pressure with it and more consistent with it
* Slices
* Making you play one more ball and volley in weird positions
* Movement, able to get to every ball quite well unless it was a put away, or went behind him on a short ball

W:

* Forehand when kept deep
* Breaks down after like 8+ balls especially when keeping to forehand, if not missing will definitely give a short ball
* Cannot hurt you almost ever unless ball is landing on the service box slow
* Serve isn’t great, outwide serve is probably his best serve and doesn’t really have a kick all slice serves from my memory. Pretty good AD side T serve though

",Nick,,false
2/27/2026,Deuce Daniel,Gustavus,Right Handed,"Strengths:

* Consistency from both wings
* Good movement
* Serve and volleys pretty well occasionally
* Gets to a lot of balls and makes you play one more

Weaknesses:

* Mixing up pace, variety especially short low slices will spray errors
* Gets tired after getting deeper into match (Started to semi cramp a bit at about 3-1 in the third set)
* Pace, can’t hurt you too bad unless ball is left short",Nick,,false
2/22/2026,Jon Totorica and Leon Chen,CWRU,Right Handed,We served and returned well. We need to work on aggressiveness at the net and in general.,Jake,,false
2/22/2026,Anmay Devaraj,CWRU,Right Handed,"I did well to stay in points and not try to hit winners too early. However, I need to work on my serve and hitting through my forehand. ",Jake,,false
2/22/2026,Jon Totorica,CWRU,Right Handed,"S:

* Serve (not insanely hard but definitely placed well and generated some aces)
* Consistency and keeping the balls deep
* Passing shots when not on the dead run or completely jammed, had to wait for very correct opportunity to come in, also would always try to make me volley for majority of the time when on the run especially
* Attitude and fight

W:

* Movement after 3-4 balls would start to break down and gave a short ball to attack
* Returns weren’t unbelievable would miss some especially when mixing up pace and placement a lot, faster serve wasn’t always better
* Couldn’t really hurt you as long as ball was kept deep
* Tentative when closer scoreline",Nick,,false
2/21/2026,Alex Ekstrand,Chicago,Right Handed,"I did well staying in rallies, but he hit the ball very low which made it hard. He had a better serve and really good hands",Jake,,false
2/21/2026,Jack Wong/Robert Zhang,Chicago,Right Handed,We had a lot of serve issues. Returns got better midway through match. We were a lot more aggressive. We need to work on not starting slow.,Jake,,false
2/7/2026,Jeremy Sieben,Wash U,Right Handed,"Forehand is huge.  He is a complete slap and can hit with great pace.  BACKHAND is much weaker. Isolate the backhand as much as possible.  ",Schills,,false
2/7/2026,"Coleman merce ",Wash U,Right Handed,"Strengths - forehand when ball is short

weaknesses - serve (2nd)
leaving balls short
rally tollerance after 10+ balls (sometimes)",Nick,,false
2/7/2026,Scruggs /Kuo,Wash U,Right Handed,"Strengths: rally ball and forcing the error 
Weaknesses: returns, aggressiveness",Jake,,false
2/7/2026,Jeremy Sieben,Wash U,Right Handed,"Strengths: consistency, shot selection
Weaknesses: forehand rally ball",Jake,,false
2/7/2026,Ethan Wu Case Fagan,Wash U,,"Wu on the deuce, doesn't return well with body serves but can return pretty well when he can extend his arms. Very good volleys but you have to go at him. 
Fagan on the AD side, he can slap a few forehands but shouldn't worry about it. Should go at him at the net. His second serve is weak",Chapi,,false
2/7/2026,Ethan Wu Case Fagan,Wash U,Left Handed,"Wu - Deuce (Lefty)
S - good volleys able to close net hard and solid lefty serve main guy we didn’t want to hit to
W - unsure other than getting ball right at him not letting him extend especially on return
Fagan - Ad (Righty)
S - hit hard at you able to close net well
W - return body and backhand return, goes for too much sometimes all shots are low flat and hard, volleys aren’t great, second serve very slow and easy to hit hard on

they close well together, serves are pretty solid, hitting to Fagan only and hitting straight in the middle of the court, and not letting them extend themselves
",Nick,,false
2/7/2026,Case Fagan,Wash U,Right Handed,"Serve can be very up and down but his second serve is weak. He has a good forehand especially inside out and inside in but only when the ball is low. When balls are up high he cant do anything. Breaking the rythm is a great strategy because he likes pace ",Chapi,,false
2/7/2026,kuo / scruggs,Wash U,Right Handed,"Kuo strengths

* strong forehand 
* 1st serve
* decent 2nd serve
* gets in on the return
* Volley on top of the net
* Different looks at the net (formations)
* move well at the net 

weaknesses 

* backhand returns
* backhand volleys 
* Pick up volleys
* slapps forehand at the net guy ( be ready)



Scruggs Strengths 

* solid all round player
* good serves 
* moves well at the net 
* solid ground strokes



weakness

* missed forehand returns
* mid player 



",Wesley,,false
2/7/2026,Eric Kuo,Wash U,Right Handed,"* Hard and flat forehand
* Pretty good serve
* Cannot volley
* backhand is average, can’t do damage
* goes for too much sometimes",Kael,,false
2/7/2026,Jeremy Sieben And Colin Fox,Wash U,Right Handed,"* they play big power doubles 
* Fox misses a ton of forehand returns 
* not great at the net
* both serve big 
* ",Kael,,false
,,Chicago,Right Handed,"* His backhand is attackable and will drop short.
* first and second serve are very weak.
* forehand is super spinny and hard to handle if it gets above your head. 
* super solid on return but start off missing a few forehand returns before getting a rhythm.
* Passes crosscourt on the forehand side almost every time. 
* Will not miss in a rally so you have to win the point.
* moves quick and hits good passing shots especially in the forehand side.",Aidan,,false
,TEAM - AMHERST,Amherst,,,Schills,"Amherst_Summary_Scouting_2026.pdf,Amherst_Stat_Breakdown_2026.pdf",false
